,ggd_regio,b,se,t,pvalue,ll,ul,model,uitkomstmaat,type_uitkomstmaat
33,GGD Regio Utrecht,39.16744,0.4552065,86.04,0.0,38.27525,40.05963,1,nopzvwkhuisartsconsult,Kosten
34,GGD Hollands-Noorden,38.98458,0.6006376,64.91,0.0,37.80734,40.16181,1,nopzvwkhuisartsconsult,Kosten
35,GGD Zaanstreek/Waterland,42.96592,0.6636744,64.74,0.0,41.66514,44.2667,1,nopzvwkhuisartsconsult,Kosten
36,GGD Kennemerland,40.57586,0.6139761,66.09,0.0,39.37248,41.77923,1,nopzvwkhuisartsconsult,Kosten
37,GGD Amsterdam,39.16147,0.731238,53.56,0.0,37.72827,40.59468,1,nopzvwkhuisartsconsult,Kosten
38,GGD Gooi en Vechtstreek,43.26929,0.8953899,48.32,0.0,41.51435,45.02423,1,nopzvwkhuisartsconsult,Kosten
39,GGD Haaglanden,33.73426,0.6967055,48.42,0.0,32.36874,35.09979,1,nopzvwkhuisartsconsult,Kosten
40,GGD Hollands-Midden,39.96195,0.5214775,76.63,0.0,38.93987,40.98403,1,nopzvwkhuisartsconsult,Kosten
41,GGD Rotterdam-Rijnmond,38.15542,0.5251388,72.66,0.0,37.12616,39.18468,1,nopzvwkhuisartsconsult,Kosten
42,Dienst Gezondheid & Jeugd ZHZ,41.79964,0.8705403,48.02,0.0,40.09341,43.50588,1,nopzvwkhuisartsconsult,Kosten
43,GGD Zeeland,40.85826,0.8441164,48.4,0.0,39.20381,42.5127,1,nopzvwkhuisartsconsult,Kosten
44,GGD West-Brabant,38.9083,0.6112211,63.66,0.0,37.71033,40.10628,1,nopzvwkhuisartsconsult,Kosten
45,GGD Hart voor Brabant,43.50048,0.5554124,78.32,0.0,42.41189,44.58908,1,nopzvwkhuisartsconsult,Kosten
46,GGD Brabant-Zuidoost,39.89344,0.5994381,66.55,0.0,38.71856,41.06832,1,nopzvwkhuisartsconsult,Kosten
47,GGD Limburg-Noord,45.34812,0.6152277,73.71,0.0,44.14229,46.55395,1,nopzvwkhuisartsconsult,Kosten
48,GGD Zuid-Limburg,52.11055,0.5919825,88.03,0.0,50.95028,53.27082,1,nopzvwkhuisartsconsult,Kosten
49,GGD Flevoland,44.02778,1785921.0,24.65,0.0,40.52743,47.52814,1,nopzvwkhuisartsconsult,Kosten
50,GGD Groningen,199.8931,2499204.0,8.0,0.0,150.9094,248.8767,1,GGZkosten,Kosten
51,GGD Fryslân,144.1398,1711456.0,8.42,0.0,110.5958,177.6839,1,GGZkosten,Kosten
52,GGD Drenthe,197.7724,4746104.0,4.17,0.0,104.7501,290.7947,1,GGZkosten,Kosten
53,GGD IJsselland,157.9513,3437087.0,4.6,0.0,90.58536,225.3172,1,GGZkosten,Kosten
54,GGD Regio Twente,146.2841,2229116.0,6.56,0.0,102.5941,189.9741,1,GGZkosten,Kosten
55,GGD Noord- en Oost-Gelderland,145.745,1916308.0,7.61,0.0,108.1859,183.3041,1,GGZkosten,Kosten
56,Veiligheids- en Gezondheidsregio Gelderland-Midden,207.3043,391239.0,5.3,0.0,130.6225,283.986,1,GGZkosten,Kosten
57,GGD Gelderland-Zuid,227.4172,513351.0,4.43,0.0,126.8019,328.0325,1,GGZkosten,Kosten
58,GGD Regio Utrecht,193.1286,1564495.0,12.34,0.0,162.4649,223.7922,1,GGZkosten,Kosten
59,GGD Hollands-Noorden,143.1258,1802709.0,7.94,0.0,107.7932,178.4583,1,GGZkosten,Kosten
60,GGD Zaanstreek/Waterland,153.1676,1825266.0,8.39,0.0,117.3929,188.9423,1,GGZkosten,Kosten
61,GGD Kennemerland,177.8941,3204553.0,5.55,0.0,115.0858,240.7024,1,GGZkosten,Kosten
62,GGD Amsterdam,274.5397,2939777.0,9.34,0.0,216.9209,332.1584,1,GGZkosten,Kosten
63,GGD Gooi en Vechtstreek,141.4998,2041125.0,6.93,0.0,101.4943,181.5052,1,GGZkosten,Kosten
64,GGD Haaglanden,214.1507,2428378.0,8.82,0.0,166.5552,261.7462,1,GGZkosten,Kosten
65,GGD Hollands-Midden,137.6685,1346939.0,10.22,0.0,111.2689,164.0681,1,GGZkosten,Kosten
66,GGD Rotterdam-Rijnmond,195.2072,2450585.0,7.97,0.0,147.1765,243.238,1,GGZkosten,Kosten
67,Dienst Gezondheid & Jeugd ZHZ,87.34457,1097846.0,7.96,0.0,65.82712,108.862,1,GGZkosten,Kosten
68,GGD Zeeland,188.0164,356363.0,5.28,0.0,118.1702,257.8625,1,GGZkosten,Kosten
69,GGD West-Brabant,200.852,3380336.0,5.94,0.0,134.5984,267.1056,1,GGZkosten,Kosten
70,GGD Hart voor Brabant,149.0496,2563268.0,5.81,0.0,98.81026,199.2889,1,GGZkosten,Kosten
71,GGD Brabant-Zuidoost,154.2004,1715707.0,8.99,0.0,120.5731,187.8278,1,GGZkosten,Kosten
72,GGD Limburg-Noord,156.8608,2405742.0,6.52,0.0,109.709,204.0127,1,GGZkosten,Kosten
73,GGD Zuid-Limburg,246.8136,2181538.0,11.31,0.0,204.0561,289.5711,1,GGZkosten,Kosten
74,GGD Flevoland,124.2368,3184868.0,3.9,0.0,61.81427,186.6592,1,GGZkosten,Kosten
75,GGD Groningen,263.5666,1123541.0,23.46,0.0,241.5456,285.5877,1,zvwkfarmacie,Kosten
76,GGD Fryslân,298.6305,2073401.0,14.4,0.0,257.9924,339.2685,1,zvwkfarmacie,Kosten
77,GGD Drenthe,275.5688,2336404.0,11.79,0.0,229.7759,321.3616,1,zvwkfarmacie,Kosten
78,GGD IJsselland,254.993,195567.0,13.04,0.0,216.6624,293.3235,1,zvwkfarmacie,Kosten
79,GGD Regio Twente,248.7479,1151533.0,21.6,0.0,226.1782,271.3176,1,zvwkfarmacie,Kosten
80,GGD Noord- en Oost-Gelderland,282.9974,1431188.0,19.77,0.0,254.9466,311.0483,1,zvwkfarmacie,Kosten
81,Veiligheids- en Gezondheidsregio Gelderland-Midden,281.4677,1853101.0,15.19,0.0,245.1474,317.7879,1,zvwkfarmacie,Kosten
82,GGD Gelderland-Zuid,286.792,1515063.0,18.93,0.0,257.0972,316.4868,1,zvwkfarmacie,Kosten
83,GGD Regio Utrecht,251.5262,1182756.0,21.27,0.0,228.3445,274.7079,1,zvwkfarmacie,Kosten
84,GGD Hollands-Noorden,288.7557,2027845.0,14.24,0.0,249.0105,328.5008,1,zvwkfarmacie,Kosten
85,GGD Zaanstreek/Waterland,295.9723,1626959.0,18.19,0.0,264.0843,327.8602,1,zvwkfarmacie,Kosten
86,GGD Kennemerland,247.2247,1116761.0,22.14,0.0,225.3365,269.1129,1,zvwkfarmacie,Kosten
87,GGD Amsterdam,351.141,2715148.0,12.93,0.0,297.9249,404.3572,1,zvwkfarmacie,Kosten
88,GGD Gooi en Vechtstreek,352.5243,6714728.0,5.25,0.0,220.9175,484.131,1,zvwkfarmacie,Kosten
89,GGD Haaglanden,288.055,132987.0,21.66,0.0,261.99,314.1201,1,zvwkfarmacie,Kosten
90,GGD Hollands-Midden,290.2313,2628026.0,11.04,0.0,238.7228,341.7398,1,zvwkfarmacie,Kosten
91,GGD Rotterdam-Rijnmond,335.4882,156791.0,21.4,0.0,304.7577,366.2188,1,zvwkfarmacie,Kosten
92,Dienst Gezondheid & Jeugd ZHZ,342.8728,4876367.0,7.03,0.0,247.2974,438.4482,1,zvwkfarmacie,Kosten
93,GGD Zeeland,328.5003,3046225.0,10.78,0.0,268.7952,388.2054,1,zvwkfarmacie,Kosten
94,GGD West-Brabant,316.57,187159.0,16.91,0.0,279.8874,353.2526,1,zvwkfarmacie,Kosten
95,GGD Hart voor Brabant,289.651,1947114.0,14.88,0.0,251.4882,327.8139,1,zvwkfarmacie,Kosten
96,GGD Brabant-Zuidoost,268.3579,981362.0,27.35,0.0,249.1235,287.5923,1,zvwkfarmacie,Kosten
97,GGD Limburg-Noord,294.1009,9403315.0,31.28,0.0,275.6707,312.5312,1,zvwkfarmacie,Kosten
98,GGD Zuid-Limburg,317.453,876077.0,36.24,0.0,300.2822,334.6239,1,zvwkfarmacie,Kosten
99,GGD Flevoland,292.7708,3336765.0,8.77,0.0,227.3712,358.1704,1,zvwkfarmacie,Kosten
100,GGD Groningen,1198.263,5730793.0,20.91,0.0,1085.941,1310.585,1,zvwkziekenhuis,Kosten
101,GGD Fryslân,1241.758,6126986.0,20.27,0.0,1121.671,1361.846,1,zvwkziekenhuis,Kosten
102,GGD Drenthe,1259.905,8699152.0,14.48,0.0,1089.404,1430.406,1,zvwkziekenhuis,Kosten
103,GGD IJsselland,1327.666,6077576.0,21.85,0.0,1208.547,1446.785,1,zvwkziekenhuis,Kosten
104,GGD Regio Twente,1423.612,1098861.0,12.96,0.0,1208.238,1638.986,1,zvwkziekenhuis,Kosten
105,GGD Noord- en Oost-Gelderland,1288.686,4321774.0,29.82,0.0,1203.98,1373.391,1,zvwkziekenhuis,Kosten
106,Veiligheids- en Gezondheidsregio Gelderland-Midden,1192.491,5489643.0,21.72,0.0,1084.896,1300.087,1,zvwkziekenhuis,Kosten
107,GGD Gelderland-Zuid,1325.522,8534909.0,15.53,0.0,1158.241,1492.804,1,zvwkziekenhuis,Kosten
108,GGD Regio Utrecht,1194.594,373284.0,32.0,0.0,1121.432,1267.757,1,zvwkziekenhuis,Kosten
109,GGD Hollands-Noorden,1161.648,4408224.0,26.35,0.0,1075.248,1248.048,1,zvwkziekenhuis,Kosten
110,GGD Zaanstreek/Waterland,1373.296,5305991.0,25.88,0.0,1269.3,1477.292,1,zvwkziekenhuis,Kosten
111,GGD Kennemerland,1276.467,4927629.0,25.9,0.0,1179.887,1373.047,1,zvwkziekenhuis,Kosten
112,GGD Amsterdam,1230.052,7759233.0,15.85,0.0,1077.974,1382.131,1,zvwkziekenhuis,Kosten
113,GGD Gooi en Vechtstreek,1326.095,66334.0,19.99,0.0,1196.082,1456.108,1,zvwkziekenhuis,Kosten
114,GGD Haaglanden,1419.891,6316389.0,22.48,0.0,1296.091,1543.69,1,zvwkziekenhuis,Kosten
115,GGD Hollands-Midden,1242.001,4127139.0,30.09,0.0,1161.11,1322.891,1,zvwkziekenhuis,Kosten
116,GGD Rotterdam-Rijnmond,1333.998,4354923.0,30.63,0.0,1248.643,1419.354,1,zvwkziekenhuis,Kosten
117,Dienst Gezondheid & Jeugd ZHZ,1149.533,4730412.0,24.3,0.0,1056.819,1242.248,1,zvwkziekenhuis,Kosten
118,GGD Zeeland,1276.779,5157031.0,24.76,0.0,1175.703,1377.856,1,zvwkziekenhuis,Kosten
119,GGD West-Brabant,1276.932,4729591.0,27.0,0.0,1184.233,1369.631,1,zvwkziekenhuis,Kosten
120,GGD Hart voor Brabant,1337.599,1026648.0,13.03,0.0,1136.379,1538.819,1,zvwkziekenhuis,Kosten
121,GGD Brabant-Zuidoost,1359.46,4999939.0,27.19,0.0,1261.463,1457.458,1,zvwkziekenhuis,Kosten
122,GGD Limburg-Noord,1462.363,7387992.0,19.79,0.0,1317.56,1607.165,1,zvwkziekenhuis,Kosten
123,GGD Zuid-Limburg,1453.262,4391019.0,33.1,0.0,1367.2,1539.325,1,zvwkziekenhuis,Kosten
124,GGD Flevoland,1205.784,8132376.0,14.83,0.0,1046.392,1365.176,1,zvwkziekenhuis,Kosten
125,GGD Groningen,2236.661,705468.0,31.7,0.0,2098.391,2374.931,6,TotaleZorgkosten,Kosten
126,GGD Fryslân,2269.548,7270797.0,31.21,0.0,2127.043,2412.054,6,TotaleZorgkosten,Kosten
127,GGD Drenthe,2249.85,1048616.0,21.46,0.0,2044.324,2455.375,6,TotaleZorgkosten,Kosten
128,GGD IJsselland,2329.066,7531256.0,30.93,0.0,2181.456,2476.676,6,TotaleZorgkosten,Kosten
129,GGD Regio Twente,2455.975,1233443.0,19.91,0.0,2214.224,2697.726,6,TotaleZorgkosten,Kosten
130,GGD Noord- en Oost-Gelderland,2221.26,5376971.0,41.31,0.0,2115.873,2326.647,6,TotaleZorgkosten,Kosten
131,Veiligheids- en Gezondheidsregio Gelderland-Midden,2216.297,7487708.0,29.6,0.0,2069.54,2363.054,6,TotaleZorgkosten,Kosten
132,GGD Gelderland-Zuid,2417.711,1091021.0,22.16,0.0,2203.874,2631.548,6,TotaleZorgkosten,Kosten
133,GGD Regio Utrecht,2309.416,5020879.0,46.0,0.0,2211.009,2407.824,6,TotaleZorgkosten,Kosten
134,GGD Hollands-Noorden,2124.903,5761504.0,36.88,0.0,2011.979,2237.827,6,TotaleZorgkosten,Kosten
135,GGD Zaanstreek/Waterland,2267.159,6208416.0,36.52,0.0,2145.476,2388.842,6,TotaleZorgkosten,Kosten
136,GGD Kennemerland,2335.926,6799561.0,34.35,0.0,2202.656,2469.195,6,TotaleZorgkosten,Kosten
137,GGD Amsterdam,2594.879,1037448.0,25.01,0.0,2391.542,2798.216,6,TotaleZorgkosten,Kosten
138,GGD Gooi en Vechtstreek,2280.822,1002438.0,22.75,0.0,2084.347,2477.297,6,TotaleZorgkosten,Kosten
139,GGD Haaglanden,2404.882,7438008.0,32.33,0.0,2259.1,2550.665,6,TotaleZorgkosten,Kosten
140,GGD Hollands-Midden,2168.309,553205.0,39.2,0.0,2059.882,2276.735,6,TotaleZorgkosten,Kosten
141,GGD Rotterdam-Rijnmond,2328.662,5661138.0,41.13,0.0,2217.705,2439.618,6,TotaleZorgkosten,Kosten
142,Dienst Gezondheid & Jeugd ZHZ,2105.145,7020099.0,29.99,0.0,1967.553,2242.737,6,TotaleZorgkosten,Kosten
143,GGD Zeeland,2316.301,7351768.0,31.51,0.0,2172.209,2460.394,6,TotaleZorgkosten,Kosten
144,GGD West-Brabant,2361.438,67.94,34.76,0.0,2228.277,2494.598,6,TotaleZorgkosten,Kosten
145,GGD Hart voor Brabant,2315.972,1134524.0,20.41,0.0,2093.609,2538.336,6,TotaleZorgkosten,Kosten
146,GGD Brabant-Zuidoost,2322.079,5873353.0,39.54,0.0,2206.963,2437.195,6,TotaleZorgkosten,Kosten
147,GGD Limburg-Noord,2334.045,7833019.0,29.8,0.0,2180.521,2487.57,6,TotaleZorgkosten,Kosten
148,GGD Zuid-Limburg,2276.925,4522791.0,50.34,0.0,2188.28,2365.571,6,TotaleZorgkosten,Kosten
149,GGD Flevoland,2174.577,1078095.0,20.17,0.0,19632.74,2385.881,6,TotaleZorgkosten,Kosten
150,GGD Groningen,41.73287,0.7190391,58.04,0.0,40.32358,43.14217,6,nopzvwkhuisartsconsult,Kosten
151,GGD Fryslân,39.07366,0.5766351,67.76,0.0,37.94347,40.20385,6,nopzvwkhuisartsconsult,Kosten
152,GGD Drenthe,42.2547,0.9161579,46.12,0.0,40.45906,44.05034,6,nopzvwkhuisartsconsult,Kosten
153,GGD IJsselland,38.89039,0.7985961,48.7,0.0,37.32517,40.45562,6,nopzvwkhuisartsconsult,Kosten
154,GGD Regio Twente,36.77805,0.6247709,58.87,0.0,35.55352,38.00258,6,nopzvwkhuisartsconsult,Kosten
155,GGD Noord- en Oost-Gelderland,37.81831,0.4687228,80.68,0.0,36.89963,38.737,6,nopzvwkhuisartsconsult,Kosten
156,Veiligheids- en Gezondheidsregio Gelderland-Midden,40.4504,0.7671131,52.73,0.0,38.94688,41.95392,6,nopzvwkhuisartsconsult,Kosten
157,GGD Gelderland-Zuid,42.68014,0.6228051,68.53,0.0,41.45946,43.90082,6,nopzvwkhuisartsconsult,Kosten
158,GGD Regio Utrecht,41.23001,0.4470835,92.22,0.0,40.35374,42.10628,6,nopzvwkhuisartsconsult,Kosten
159,GGD Hollands-Noorden,39.00638,0.55464,70.33,0.0,37.9193,40.09345,6,nopzvwkhuisartsconsult,Kosten
160,GGD Zaanstreek/Waterland,42.53601,0.647082,65.74,0.0,41.26775,43.80427,6,nopzvwkhuisartsconsult,Kosten
161,GGD Kennemerland,41.71783,0.5918451,70.49,0.0,40.55783,42.87783,6,nopzvwkhuisartsconsult,Kosten
162,GGD Amsterdam,41.36041,0.6849452,60.38,0.0,40.01793,42.70288,6,nopzvwkhuisartsconsult,Kosten
163,GGD Gooi en Vechtstreek,43.48486,0.9267783,46.92,0.0,41.6684,45.30132,6,nopzvwkhuisartsconsult,Kosten
164,GGD Haaglanden,32.92189,0.5834909,56.42,0.0,31.77827,34.06552,6,nopzvwkhuisartsconsult,Kosten
165,GGD Hollands-Midden,39.7972,0.4612389,86.28,0.0,38.89318,40.70121,6,nopzvwkhuisartsconsult,Kosten
166,GGD Rotterdam-Rijnmond,37.57212,0.4765593,78.84,0.0,36.63808,38.50616,6,nopzvwkhuisartsconsult,Kosten
167,Dienst Gezondheid & Jeugd ZHZ,42.40945,0.8372672,50.65,0.0,40.76843,44.05047,6,nopzvwkhuisartsconsult,Kosten
168,GGD Zeeland,38.98941,0.709586,54.95,0.0,37.59864,40.38017,6,nopzvwkhuisartsconsult,Kosten
169,GGD West-Brabant,38.7311,0.5876654,65.91,0.0,37.57929,39.8829,6,nopzvwkhuisartsconsult,Kosten
170,GGD Hart voor Brabant,43.87915,0.5532894,79.31,0.0,42.79472,44.96358,6,nopzvwkhuisartsconsult,Kosten
171,GGD Brabant-Zuidoost,39.98073,0.5087015,78.59,0.0,38.98369,40.97777,6,nopzvwkhuisartsconsult,Kosten
172,GGD Limburg-Noord,43.96852,0.5392197,81.54,0.0,42.91166,45.02537,6,nopzvwkhuisartsconsult,Kosten
173,GGD Zuid-Limburg,47.8583,0.4519322,105.9,0.0,46.97253,48.74407,6,nopzvwkhuisartsconsult,Kosten
174,GGD Flevoland,45.86089,1663787.0,27.56,0.0,42.59992,49.12186,6,nopzvwkhuisartsconsult,Kosten
175,GGD Groningen,189.2864,2039911.0,9.28,0.0,149.3047,229.2681,6,GGZkosten,Kosten
176,GGD Fryslân,153.1267,1613701.0,9.49,0.0,121.4986,184.7548,6,GGZkosten,Kosten
177,GGD Drenthe,202.7741,3373805.0,6.01,0.0,136.6484,268.8997,6,GGZkosten,Kosten
178,GGD IJsselland,154.9662,2125096.0,7.29,0.0,113.3149,196.6174,6,GGZkosten,Kosten
179,GGD Regio Twente,138.4046,1762364.0,7.85,0.0,103.8627,172.9464,6,GGZkosten,Kosten
180,GGD Noord- en Oost-Gelderland,174.8739,2387089.0,7.33,0.0,128.0876,221.6601,6,GGZkosten,Kosten
181,Veiligheids- en Gezondheidsregio Gelderland-Midden,208.4191,4812956.0,4.33,0.0,114.0865,302.7516,6,GGZkosten,Kosten
182,GGD Gelderland-Zuid,201.6852,235925.0,8.55,0.0,155.4446,247.9259,6,GGZkosten,Kosten
183,GGD Regio Utrecht,206.6212,1468886.0,14.07,0.0,177.8315,235.411,6,GGZkosten,Kosten
184,GGD Hollands-Noorden,149.6171,1565221.0,9.56,0.0,118.9392,180.2949,6,GGZkosten,Kosten
185,GGD Zaanstreek/Waterland,152.2373,1427707.0,10.66,0.0,124.2547,180.22,6,GGZkosten,Kosten
186,GGD Kennemerland,184.5506,1777569.0,10.38,0.0,149.7107,219.3904,6,GGZkosten,Kosten
187,GGD Amsterdam,256.293,2329195.0,11.0,0.0,210.6414,301.9445,6,GGZkosten,Kosten
188,GGD Gooi en Vechtstreek,157.889,1803606.0,8.75,0.0,122.5389,193.2392,6,GGZkosten,Kosten
189,GGD Haaglanden,176.7414,1716516.0,10.3,0.0,143.0982,210.3846,6,GGZkosten,Kosten
190,GGD Hollands-Midden,137.6975,113801.0,12.1,0.0,115.3929,160.0022,6,GGZkosten,Kosten
191,GGD Rotterdam-Rijnmond,176.2642,1746389.0,10.09,0.0,142.0355,210.4929,6,GGZkosten,Kosten
192,Dienst Gezondheid & Jeugd ZHZ,105.3971,1177766.0,8.95,0.0,823.1323,128.481,6,GGZkosten,Kosten
193,GGD Zeeland,179.8312,249603.0,7.2,0.0,130.9097,228.7526,6,GGZkosten,Kosten
194,GGD West-Brabant,204.3792,2714225.0,7.53,0.0,151.1811,257.5772,6,GGZkosten,Kosten
195,GGD Hart voor Brabant,160.9245,2199741.0,7.32,0.0,117.8103,204.0388,6,GGZkosten,Kosten
196,GGD Brabant-Zuidoost,185.0142,2079795.0,8.9,0.0,144.2508,225.7776,6,GGZkosten,Kosten
197,GGD Limburg-Noord,199.4107,3309234.0,6.03,0.0,134.5507,264.2707,6,GGZkosten,Kosten
198,GGD Zuid-Limburg,212.839,1687805.0,12.61,0.0,179.7585,245.9195,6,GGZkosten,Kosten
199,GGD Flevoland,125.9808,3180753.0,3.96,0.0,636.3899,188.3227,6,GGZkosten,Kosten
200,GGD Groningen,277.863,1091743.0,25.45,0.0,256.4652,299.2609,6,zvwkfarmacie,Kosten
201,GGD Fryslân,294.3821,1553718.0,18.95,0.0,263.9297,324.8345,6,zvwkfarmacie,Kosten
202,GGD Drenthe,290.2284,175092.0,16.58,0.0,255.9108,324.5459,6,zvwkfarmacie,Kosten
203,GGD IJsselland,279.0311,1592818.0,17.52,0.0,247.8123,310.2498,6,zvwkfarmacie,Kosten
204,GGD Regio Twente,275.782,9411384.0,29.3,0.0,257.3359,294.228,6,zvwkfarmacie,Kosten
205,GGD Noord- en Oost-Gelderland,313.9787,2193626.0,14.31,0.0,270.9843,356.9731,6,zvwkfarmacie,Kosten
206,Veiligheids- en Gezondheidsregio Gelderland-Midden,273.1519,1177688.0,23.19,0.0,250.0696,296.2343,6,zvwkfarmacie,Kosten
207,GGD Gelderland-Zuid,303.2481,1323694.0,22.91,0.0,277.3041,329.1921,6,zvwkfarmacie,Kosten
208,GGD Regio Utrecht,295.8947,1059994.0,27.91,0.0,275.1192,316.6703,6,zvwkfarmacie,Kosten
209,GGD Hollands-Noorden,307.0911,2623651.0,11.7,0.0,255.6683,358.5138,6,zvwkfarmacie,Kosten
210,GGD Zaanstreek/Waterland,340.3029,3593051.0,9.47,0.0,269.8801,410.7256,6,zvwkfarmacie,Kosten
211,GGD Kennemerland,301.7564,1954507.0,15.44,0.0,263.4486,340.0641,6,zvwkfarmacie,Kosten
212,GGD Amsterdam,366.3782,2621316.0,13.98,0.0,315.0012,417.7552,6,zvwkfarmacie,Kosten
213,GGD Gooi en Vechtstreek,321.0459,4334702.0,7.41,0.0,236.0869,406.0048,6,zvwkfarmacie,Kosten
214,GGD Haaglanden,295.9096,109704.0,26.97,0.0,274.408,317.4113,6,zvwkfarmacie,Kosten
215,GGD Hollands-Midden,275.6882,1112661.0,24.78,0.0,253.8804,297.4961,6,zvwkfarmacie,Kosten
216,GGD Rotterdam-Rijnmond,338.6825,151516.0,22.35,0.0,308.9858,368.3792,6,zvwkfarmacie,Kosten
217,Dienst Gezondheid & Jeugd ZHZ,336.979,2169155.0,15.54,0.0,294.4642,379.4938,6,zvwkfarmacie,Kosten
218,GGD Zeeland,370.0103,626683.0,5.9,0.0,247.1822,492.8383,6,zvwkfarmacie,Kosten
219,GGD West-Brabant,337.1911,1945025.0,17.34,0.0,299.0691,375.313,6,zvwkfarmacie,Kosten
220,GGD Hart voor Brabant,298.7768,1273996.0,23.45,0.0,273.8068,323.7467,6,zvwkfarmacie,Kosten
221,GGD Brabant-Zuidoost,291.987,1466539.0,19.91,0.0,263.2433,320.7307,6,zvwkfarmacie,Kosten
222,GGD Limburg-Noord,280.9556,9198.0,30.55,0.0,262.9277,298.9834,6,zvwkfarmacie,Kosten
223,GGD Zuid-Limburg,285.7657,7732159.0,36.96,0.0,270.6109,300.9205,6,zvwkfarmacie,Kosten
224,GGD Flevoland,306.015,2992078.0,10.23,0.0,247.3711,364.6589,6,zvwkfarmacie,Kosten
225,GGD Groningen,1196.789,5756018.0,20.79,0.0,1083.972,1309.605,6,zvwkziekenhuis,Kosten
